seed=23
gen=155	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=156	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=157	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=158	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=159	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=160	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=161	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=162	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=163	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=164	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=165	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=166	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=167	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=168	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=169	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=170	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=171	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
