seed=2
gen=358	fitness=0.000003567356	position=[2.995574, 0.498766]
gen=359	fitness=0.000003567356	position=[2.995574, 0.498766]
gen=360	fitness=0.000003567356	position=[2.995574, 0.498766]
gen=361	fitness=0.000003567356	position=[2.995574, 0.498766]
gen=362	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=363	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=364	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=365	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=366	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=367	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=368	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=369	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=370	fitness=0.000003377640	position=[2.995419, 0.498869]
gen=371	fitness=0.000003376455	position=[2.995419, 0.498860]
gen=372	fitness=0.000003376455	position=[2.995419, 0.498860]
gen=373	fitness=0.000003376455	position=[2.995419, 0.498860]
gen=374	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=375	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=376	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=377	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=378	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=379	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=380	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=381	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=382	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=383	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=384	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=385	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=386	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=387	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=388	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=389	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=390	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=391	fitness=0.000002543337	position=[2.996267, 0.498958]
gen=392	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=393	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=394	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=395	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=396	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=397	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=398	fitness=0.000002248248	position=[2.996267, 0.499053]
