seed=23
gen=79	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=80	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=81	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=82	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=83	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=84	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=85	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=86	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=87	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=88	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
