seed=7
gen=158	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=159	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=160	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=161	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=162	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=163	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=164	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=165	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=166	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=167	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=168	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=169	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=170	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=171	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=172	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=173	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=174	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=175	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
