seed=4
gen=109	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=110	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=111	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=112	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=113	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=114	fitness=14.137939255669	position=[-0.978243, -0.058447, -0.005820, -1.013863, -0.027188, 0.987857, -1.002805, -0.026284, -2.964595, -0.008567]
gen=115	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=116	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=117	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=118	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=119	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=120	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=121	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=122	fitness=14.133975381889	position=[-0.968498, -0.040138, 0.010291, -1.015481, -0.003382, 0.953253, -0.983561, -0.028091, -2.966946, -0.015818]
gen=123	fitness=13.925335332522	position=[-0.980729, -0.046146, -0.005096, -1.012499, -0.020272, 0.962691, -1.006766, -0.025494, -2.974367, 0.001383]
gen=124	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=125	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=126	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=127	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=128	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=129	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=130	fitness=13.837156679564	position=[-0.971449, -0.035810, 0.005864, -1.018644, -0.002326, 0.984734, -0.986831, -0.038189, -2.971354, -0.017887]
gen=131	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=132	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=133	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=134	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=135	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=136	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=137	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=138	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=139	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=140	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=141	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=142	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=143	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=144	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=145	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
